Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2025-01-01T00:00:00.000000,Chile,Sistema Eléctrico Nacional,CL-SEN,135.92,181.0,75.58,75.58,coordinador.cl,false,""
2025-01-02T00:00:00.000000,Chile,Sistema Eléctrico Nacional,CL-SEN,108.69,151.31,80.47,80.47,coordinador.cl,false,""
2025-01-03T00:00:00.000000,Chile,Sistema Eléctrico Nacional,CL-SEN,146.24,193.86,73.73,73.73,coordinador.cl,false,""
2025-01-04T00:00:00.000000,Chile,Sistema Eléctrico Nacional,CL-SEN,150.76,199.26,72.92,72.92,coordinador.cl,false,""
2025-01-05T00:00:00.000000,Chile,Sistema Eléctrico Nacional,CL-SEN,138.37,184.74,75.14,75.14,coordinador.cl,false,""
2025-01-06T00:00:00.000000,Chile,Sistema Eléctrico Nacional,CL-SEN,150.33,199.12,72.99,72.99,coordinador.cl,false,""
2025-01-07T00:00:00.000000,Chile,Sistema Eléctrico Nacional,CL-SEN,147.46,195.58,73.51,73.51,coordinador.cl,false,""
2025-01-08T00:00:00.000000,Chile,Sistema Eléctrico Nacional,CL-SEN,138.35,184.96,75.14,75.14,coordinador.cl,false,""
2025-01-09T00:00:00.000000,Chile,Sistema Eléctrico Nacional,CL-SEN,137.68,183.75,75.27,75.27,coordinador.cl,false,""
2025-01-10T00:00:00.000000,Chile,Sistema Eléctrico Nacional,CL-SEN,135.1,181.53,75.73,75.73,coordinador.cl,false,""
2025-01-11T00:00:00.000000,Chile,Sistema Eléctrico Nacional,CL-SEN,144.84,191.62,73.98,73.98,coordinador.cl,false,""
2025-01-12T00:00:00.000000,Chile,Sistema Eléctrico Nacional,CL-SEN,163.93,212.34,70.55,70.55,coordinador.cl,false,""
2025-01-13T00:00:00.000000,Chile,Sistema Eléctrico Nacional,CL-SEN,140.37,187.0,74.78,74.78,coordinador.cl,false,""
2025-01-14T00:00:00.000000,Chile,Sistema Eléctrico Nacional,CL-SEN,151.95,200.12,72.7,72.7,coordinador.cl,false,""
2025-01-15T00:00:00.000000,Chile,Sistema Eléctrico Nacional,CL-SEN,166.46,216.59,70.09,70.09,coordinador.cl,false,""
2025-01-16T00:00:00.000000,Chile,Sistema Eléctrico Nacional,CL-SEN,161.21,210.49,71.04,71.04,coordinador.cl,false,""
2025-01-17T00:00:00.000000,Chile,Sistema Eléctrico Nacional,CL-SEN,149.27,196.49,73.18,73.18,coordinador.cl,false,""
2025-01-18T00:00:00.000000,Chile,Sistema Eléctrico Nacional,CL-SEN,150.87,197.05,72.9,72.9,coordinador.cl,false,""
2025-01-19T00:00:00.000000,Chile,Sistema Eléctrico Nacional,CL-SEN,145.55,191.45,73.85,73.85,coordinador.cl,false,""
2025-01-20T00:00:00.000000,Chile,Sistema Eléctrico Nacional,CL-SEN,160.07,209.15,71.24,71.24,coordinador.cl,false,""
2025-01-21T00:00:00.000000,Chile,Sistema Eléctrico Nacional,CL-SEN,179.16,230.76,67.81,67.81,coordinador.cl,false,""
2025-01-22T00:00:00.000000,Chile,Sistema Eléctrico Nacional,CL-SEN,173.29,223.81,68.87,68.87,coordinador.cl,false,""
2025-01-23T00:00:00.000000,Chile,Sistema Eléctrico Nacional,CL-SEN,180.69,232.46,67.54,67.54,coordinador.cl,false,""
2025-01-24T00:00:00.000000,Chile,Sistema Eléctrico Nacional,CL-SEN,158.13,206.42,71.59,71.59,coordinador.cl,false,""
2025-01-25T00:00:00.000000,Chile,Sistema Eléctrico Nacional,CL-SEN,160.68,208.76,71.13,71.13,coordinador.cl,false,""
2025-01-26T00:00:00.000000,Chile,Sistema Eléctrico Nacional,CL-SEN,170.09,220.4,69.44,69.44,coordinador.cl,false,""
2025-01-27T00:00:00.000000,Chile,Sistema Eléctrico Nacional,CL-SEN,172.19,222.97,69.07,69.07,coordinador.cl,false,""
