Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2025-01-01T00:00:00.000000,Chile,Sistema Eléctrico Nacional,CL-SEN,174.13,217.43,68.72,68.72,coordinador.cl,false,""
2025-01-01T01:00:00.000000,Chile,Sistema Eléctrico Nacional,CL-SEN,187.19,232.14,66.37,66.37,coordinador.cl,false,""
2025-01-01T02:00:00.000000,Chile,Sistema Eléctrico Nacional,CL-SEN,186.23,231.24,66.54,66.54,coordinador.cl,false,""
2025-01-01T03:00:00.000000,Chile,Sistema Eléctrico Nacional,CL-SEN,178.54,222.95,67.92,67.92,coordinador.cl,false,""
2025-01-01T04:00:00.000000,Chile,Sistema Eléctrico Nacional,CL-SEN,195.41,242.11,64.89,64.89,coordinador.cl,false,""
2025-01-01T05:00:00.000000,Chile,Sistema Eléctrico Nacional,CL-SEN,215.67,265.05,61.25,61.25,coordinador.cl,false,""
2025-01-01T06:00:00.000000,Chile,Sistema Eléctrico Nacional,CL-SEN,221.0,271.05,60.3,60.3,coordinador.cl,false,""
2025-01-01T07:00:00.000000,Chile,Sistema Eléctrico Nacional,CL-SEN,224.83,275.38,59.61,59.61,coordinador.cl,false,""
2025-01-01T08:00:00.000000,Chile,Sistema Eléctrico Nacional,CL-SEN,222.71,272.96,59.99,59.99,coordinador.cl,false,""
2025-01-01T09:00:00.000000,Chile,Sistema Eléctrico Nacional,CL-SEN,226.02,276.76,59.39,59.39,coordinador.cl,false,""
2025-01-01T10:00:00.000000,Chile,Sistema Eléctrico Nacional,CL-SEN,178.46,225.62,67.94,67.94,coordinador.cl,false,""
2025-01-01T11:00:00.000000,Chile,Sistema Eléctrico Nacional,CL-SEN,108.06,152.74,80.59,80.59,coordinador.cl,false,""
