id,dispositivo_id,dia_semana,hora_inicio,hora_fin,estado_esperado
H-0001,D-0001,Monday,08:00:00,12:59:59,Encendido
H-0002,D-0001,Monday,13:00:00,14:59:59,Apagado
H-0003,D-0001,Monday,15:00:00,17:59:59,Encendido
H-0004,D-0001,Monday,18:00:00,23:59:59,Apagado
H-0005,D-0001,Monday,00:00:00,07:59:59,Apagado
H-0006,D-0001,Tuesday,08:00:00,12:59:59,Encendido
H-0007,D-0001,Tuesday,13:00:00,14:59:59,Apagado
H-0008,D-0001,Tuesday,15:00:00,17:59:59,Encendido
H-0009,D-0001,Tuesday,18:00:00,23:59:59,Apagado
H-0010,D-0001,Tuesday,00:00:00,07:59:59,Apagado
H-0011,D-0001,Wednesday,08:00:00,12:59:59,Encendido
H-0012,D-0001,Wednesday,13:00:00,14:59:59,Apagado
H-0013,D-0001,Wednesday,15:00:00,17:59:59,Encendido
H-0014,D-0001,Wednesday,18:00:00,23:59:59,Apagado
H-0015,D-0001,Wednesday,00:00:00,07:59:59,Apagado
H-0016,D-0001,Thursday,08:00:00,12:59:59,Encendido
H-0017,D-0001,Thursday,13:00:00,14:59:59,Apagado
H-0018,D-0001,Thursday,15:00:00,17:59:59,Encendido
H-0019,D-0001,Thursday,18:00:00,23:59:59,Apagado
H-0020,D-0001,Thursday,00:00:00,07:59:59,Apagado
H-0021,D-0001,Friday,08:00:00,12:59:59,Encendido
H-0022,D-0001,Friday,13:00:00,14:59:59,Apagado
H-0023,D-0001,Friday,15:00:00,17:59:59,Encendido
H-0024,D-0001,Friday,18:00:00,23:59:59,Apagado
H-0025,D-0001,Friday,00:00:00,07:59:59,Apagado
H-0026,D-0001,Saturday,00:00:00,23:59:59,Apagado
H-0027,D-0001,Sunday,00:00:00,23:59:59,Apagado
H-0028,D-0002,Monday,08:00:00,12:59:59,Encendido
H-0029,D-0002,Monday,13:00:00,13:59:59,Encendido
H-0030,D-0002,Monday,14:00:00,17:59:59,Encendido
H-0031,D-0002,Monday,18:00:00,23:59:59,Apagado
H-0032,D-0002,Monday,00:00:00,07:59:59,Apagado
H-0033,D-0002,Tuesday,08:00:00,12:59:59,Encendido
H-0034,D-0002,Tuesday,13:00:00,13:59:59,Encendido
H-0035,D-0002,Tuesday,14:00:00,17:59:59,Encendido
H-0036,D-0002,Tuesday,18:00:00,23:59:59,Apagado
H-0037,D-0002,Tuesday,00:00:00,07:59:59,Apagado
H-0038,D-0002,Wednesday,08:00:00,12:59:59,Encendido
H-0039,D-0002,Wednesday,13:00:00,13:59:59,Encendido
H-0040,D-0002,Wednesday,14:00:00,17:59:59,Encendido
H-0041,D-0002,Wednesday,18:00:00,23:59:59,Apagado
H-0042,D-0002,Wednesday,00:00:00,07:59:59,Apagado
H-0043,D-0002,Thursday,08:00:00,12:59:59,Encendido
H-0044,D-0002,Thursday,13:00:00,13:59:59,Encendido
H-0045,D-0002,Thursday,14:00:00,17:59:59,Encendido
H-0046,D-0002,Thursday,18:00:00,23:59:59,Apagado
H-0047,D-0002,Thursday,00:00:00,07:59:59,Apagado
H-0048,D-0002,Friday,08:00:00,12:59:59,Encendido
H-0049,D-0002,Friday,13:00:00,13:59:59,Encendido
H-0050,D-0002,Friday,14:00:00,17:59:59,Encendido
H-0051,D-0002,Friday,18:00:00,23:59:59,Apagado
H-0052,D-0002,Friday,00:00:00,07:59:59,Apagado
H-0053,D-0002,Saturday,00:00:00,23:59:59,Apagado
H-0054,D-0002,Sunday,00:00:00,23:59:59,Apagado
H-0055,D-0003,Monday,08:00:00,12:59:59,Encendido
H-0056,D-0003,Monday,13:00:00,14:59:59,Apagado
H-0057,D-0003,Monday,15:00:00,17:59:59,Encendido
H-0058,D-0003,Monday,18:00:00,23:59:59,Apagado
H-0059,D-0003,Monday,00:00:00,07:59:59,Apagado
H-0060,D-0003,Tuesday,08:00:00,12:59:59,Encendido
H-0061,D-0003,Tuesday,13:00:00,14:59:59,Apagado
H-0062,D-0003,Tuesday,15:00:00,17:59:59,Encendido
H-0063,D-0003,Tuesday,18:00:00,23:59:59,Apagado
H-0064,D-0003,Tuesday,00:00:00,07:59:59,Apagado
H-0065,D-0003,Wednesday,08:00:00,12:59:59,Encendido
H-0066,D-0003,Wednesday,13:00:00,14:59:59,Apagado
H-0067,D-0003,Wednesday,15:00:00,17:59:59,Encendido
H-0068,D-0003,Wednesday,18:00:00,23:59:59,Apagado
H-0069,D-0003,Wednesday,00:00:00,07:59:59,Apagado
H-0070,D-0003,Thursday,08:00:00,12:59:59,Encendido
H-0071,D-0003,Thursday,13:00:00,14:59:59,Apagado
H-0072,D-0003,Thursday,15:00:00,17:59:59,Encendido
H-0073,D-0003,Thursday,18:00:00,23:59:59,Apagado
H-0074,D-0003,Thursday,00:00:00,07:59:59,Apagado
H-0075,D-0003,Friday,08:00:00,12:59:59,Encendido
H-0076,D-0003,Friday,13:00:00,14:59:59,Apagado
H-0077,D-0003,Friday,15:00:00,17:59:59,Encendido
H-0078,D-0003,Friday,18:00:00,23:59:59,Apagado
H-0079,D-0003,Friday,00:00:00,07:59:59,Apagado
H-0080,D-0003,Saturday,00:00:00,23:59:59,Apagado
H-0081,D-0003,Sunday,00:00:00,23:59:59,Apagado
H-0082,D-0004,Monday,08:00:00,12:59:59,Encendido
H-0083,D-0004,Monday,13:00:00,14:59:59,Apagado
H-0084,D-0004,Monday,15:00:00,17:59:59,Encendido
H-0085,D-0004,Monday,18:00:00,23:59:59,Apagado
H-0086,D-0004,Monday,00:00:00,07:59:59,Apagado
H-0087,D-0004,Tuesday,08:00:00,12:59:59,Encendido
H-0088,D-0004,Tuesday,13:00:00,14:59:59,Apagado
H-0089,D-0004,Tuesday,15:00:00,17:59:59,Encendido
H-0090,D-0004,Tuesday,18:00:00,23:59:59,Apagado
H-0091,D-0004,Tuesday,00:00:00,07:59:59,Apagado
H-0092,D-0004,Wednesday,08:00:00,12:59:59,Encendido
H-0093,D-0004,Wednesday,13:00:00,14:59:59,Apagado
H-0094,D-0004,Wednesday,15:00:00,17:59:59,Encendido
H-0095,D-0004,Wednesday,18:00:00,23:59:59,Apagado
