dispositivo_id,nombre_modelo,fecha,horario,estado,consumo_w,horas,consumo_kwh,intensidad_co2,emisiones_kgco2
D-0001,Monitor HP 24",2024-01-01,00:00-07:59,Apagado,0.50,7,0.0035,131.80,0.461283
D-0001,Monitor HP 24",2024-01-01,08:00-12:59,Encendido,50.00,4,0.2000,131.80,26.359000
D-0001,Monitor HP 24",2024-01-01,13:00-14:59,Apagado,0.50,1,0.0005,131.80,0.065898
D-0001,Monitor HP 24",2024-01-01,15:00-17:59,Encendido,50.00,2,0.1000,131.80,13.179500
D-0001,Monitor HP 24",2024-01-01,18:00-23:59,Apagado,0.50,5,0.0025,131.80,0.329488
D-0001,Monitor HP 24",2024-01-02,00:00-07:59,Apagado,0.50,7,0.0035,115.09,0.402823
D-0001,Monitor HP 24",2024-01-02,08:00-12:59,Encendido,50.00,4,0.2000,115.09,23.018480
D-0001,Monitor HP 24",2024-01-02,13:00-14:59,Apagado,0.50,1,0.0005,115.09,0.057546
D-0001,Monitor HP 24",2024-01-02,15:00-17:59,Encendido,50.00,2,0.1000,115.09,11.509240
D-0001,Monitor HP 24",2024-01-02,18:00-23:59,Apagado,0.50,5,0.0025,115.09,0.287731
D-0001,Monitor HP 24",2024-01-03,00:00-07:59,Apagado,0.50,7,0.0035,143.88,0.503590
D-0001,Monitor HP 24",2024-01-03,08:00-12:59,Encendido,50.00,4,0.2000,143.88,28.776560
D-0001,Monitor HP 24",2024-01-03,13:00-14:59,Apagado,0.50,1,0.0005,143.88,0.071941
D-0001,Monitor HP 24",2024-01-03,15:00-17:59,Encendido,50.00,2,0.1000,143.88,14.388280
D-0001,Monitor HP 24",2024-01-03,18:00-23:59,Apagado,0.50,5,0.0025,143.88,0.359707
D-0001,Monitor HP 24",2024-01-04,00:00-07:59,Apagado,0.50,7,0.0035,146.25,0.511874
D-0001,Monitor HP 24",2024-01-04,08:00-12:59,Encendido,50.00,4,0.2000,146.25,29.249920
D-0001,Monitor HP 24",2024-01-04,13:00-14:59,Apagado,0.50,1,0.0005,146.25,0.073125
D-0001,Monitor HP 24",2024-01-04,15:00-17:59,Encendido,50.00,2,0.1000,146.25,14.624960
D-0001,Monitor HP 24",2024-01-04,18:00-23:59,Apagado,0.50,5,0.0025,146.25,0.365624
